"No.","Time","Source","Destination","Protocol","Length","Info"
"73","0.068043","","","CAN","16","STD: 0x00000140   00 0a 00 40 00 00 0f 00"
"74","0.068346","","","CAN","16","STD: 0x00000141   59 26 74 27 00 80 3f 00"
"75","0.068645","","","CAN","16","STD: 0x00000144   c0 00 06 90 42 24 a0 00"
"76","0.068943","","","CAN","16","STD: 0x00000156   01 80 00 00 00 00 00 05"
"77","0.069244","","","CAN","16","STD: 0x000003d1   9f 0f 00 00 fd 00 00 00"
"78","0.073076","","","CAN","16","STD: 0x00000002   ff 81 70 05 f5 00 00 00"
"79","0.074733","","","CAN","16","STD: 0x000000d0   75 00 00 00 00 00 00 00"
"80","0.075042","","","CAN","12","STD: 0x000000d1   00 00 00 80"
"81","0.075349","","","CAN","16","STD: 0x000000d2   00 00 ff ff 10 00 00 00"
"82","0.075566","","","CAN","15","STD: 0x000000d3   80 46 c0 4e 00 00 04"
"83","0.075873","","","CAN","16","STD: 0x00000280   00 0f 00 00 00 00 00 00"
"84","0.076542","","","CAN","16","STD: 0x00000152   f9 f4 00 00 00 00 08 80"
"85","0.076833","","","CAN","9","STD: 0x00000376   fa"
"86","0.078135","","","CAN","16","STD: 0x00000140   00 0b 00 40 00 00 0f 00"
"87","0.078437","","","CAN","16","STD: 0x00000141   59 26 74 27 00 80 3f 00"
"88","0.078736","","","CAN","16","STD: 0x00000360   00 00 53 62 30 40 01 00"
"89","0.079062","","","CAN","16","STD: 0x00000362   2c 70 60 b7 4f 3e bf 04"
"90","0.079271","","","CAN","16","STD: 0x00000361   00 01 31 d8 6f 00 00 00"
"91","0.083068","","","CAN","16","STD: 0x00000002   ff 81 70 07 f7 00 00 00"
"92","0.086193","","","CAN","16","STD: 0x00000371   ff ff 00 00 80 4d 03 00"
"93","0.088400","","","CAN","16","STD: 0x00000140   00 0c 00 40 00 00 0f 00"
"94","0.088707","","","CAN","16","STD: 0x00000141   59 26 74 27 00 80 3f 00"
"95","0.089012","","","CAN","16","STD: 0x00000144   c0 00 06 90 42 24 a0 00"
"96","0.089331","","","CAN","16","STD: 0x00000156   01 80 00 00 00 00 00 05"
"97","0.093058","","","CAN","16","STD: 0x00000002   ff 81 70 09 f9 00 00 00"
"98","0.094742","","","CAN","16","STD: 0x000000d0   75 00 00 00 00 00 00 00"
"99","0.095046","","","CAN","12","STD: 0x000000d1   00 00 00 80"
"100","0.095347","","","CAN","16","STD: 0x000000d2   00 00 ff ff 10 00 00 00"
"101","0.095561","","","CAN","15","STD: 0x000000d3   00 46 c0 4e 00 00 05"
"102","0.095862","","","CAN","16","STD: 0x00000280   00 00 00 00 00 00 00 00"
"103","0.096515","","","CAN","16","STD: 0x00000152   f9 04 00 00 00 00 08 80"
"104","0.098135","","","CAN","16","STD: 0x00000140   00 0d 00 40 00 00 0f 00"
"105","0.098436","","","CAN","16","STD: 0x00000141   59 26 74 27 00 80 3f 00"
"106","0.102244","","","CAN","16","STD: 0x00000370   ff ff 20 01 80 0b 00 00"
"107","0.103060","","","CAN","16","STD: 0x00000002   ff 81 70 0b fb 00 00 00"
"108","0.106184","","","CAN","16","STD: 0x00000371   ff ff 00 00 80 4d 03 00"
"109","0.108003","","","CAN","16","STD: 0x00000140   00 0e 00 40 00 00 0f 00"
"110","0.108289","","","CAN","16","STD: 0x00000141   59 26 74 27 00 80 3f 00"
"111","0.108610","","","CAN","16","STD: 0x00000144   c0 00 06 90 42 24 a0 00"
"112","0.108915","","","CAN","16","STD: 0x00000156   01 80 00 00 00 00 00 05"
"113","0.109231","","","CAN","16","STD: 0x00000282   8e f2 00 4d 50 01 2a 00"
"114","0.113053","","","CAN","16","STD: 0x00000002   ff 81 70 0d fd 00 00 00"
"115","0.114737","","","CAN","16","STD: 0x000000d0   75 00 00 00 00 00 00 00"
"116","0.115041","","","CAN","12","STD: 0x000000d1   00 00 00 80"
"117","0.115348","","","CAN","16","STD: 0x000000d2   00 00 ff ff 10 00 00 00"
"118","0.115566","","","CAN","15","STD: 0x000000d3   00 46 c0 4e 00 00 06"
"119","0.115871","","","CAN","16","STD: 0x00000280   00 01 00 00 00 00 00 00"
"120","0.116527","","","CAN","16","STD: 0x00000152   f1 14 00 00 00 00 08 80"
"121","0.118084","","","CAN","16","STD: 0x00000140   00 0f 00 40 00 00 0f 00"
"122","0.118391","","","CAN","16","STD: 0x00000141   59 26 74 27 00 80 3f 00"
"123","0.123061","","","CAN","16","STD: 0x00000002   ff 81 70 0f ff 00 00 00"
