"TIM","ADD","VAL"
12.532859,141,"5926752700803f00"
13.171403,141,"5926752700803f00"
13.251131,141,"5926752700803f00"
13.271425,141,"5926752700803f00"
13.341055,141,"5926752700803f00"
13.361022,141,"5926752700803f00"
13.54075,141,"5926752700803f00"
13.960227,141,"5926752700803f00"
16.71659,141,"5926752700803f00"
17.425992,141,"5926752700803f00"
18.464418,141,"5926752700803f00"
19.672673,141,"5926752700803f00"
20.081978,141,"5926752700803f00"
20.721166,141,"5926752700803f00"
21.23065,141,"5926752700803f00"
21.780147,141,"5926752700803f00"
22.788612,141,"5926752700803f00"
23.787278,141,"5926752700803f00"
24.71589,141,"5926752700803f00"
25.325149,141,"5926752700803f00"
26.683398,141,"5926752700803f00"
27.303067,141,"5926752700803f00"
27.312494,141,"5926752700803f00"
27.812006,141,"5926752700803f00"
28.061546,141,"5926752700803f00"
12.016079,282,"85d2004d50012a00"
12.06523,282,"85e2004d50012a00"
2.560555,282,"8902004d50012a00"
24.221289,282,"8912004d50012a00"
26.622125,282,"8912004d50012a00"
29.023292,282,"8912004d50012a00"
24.271095,282,"8922004d50012a00"
26.672219,282,"8922004d50012a00"
29.073368,282,"8922004d50012a00"
13.116197,282,"8932004d50012a00"
13.165747,282,"8942004d50012a00"
21.219567,282,"8952004d50012a00"
23.62072,282,"8952004d50012a00"
21.26965,282,"8962004d50012a00"
23.670805,282,"8962004d50012a00"
12.516048,282,"8972004d50012a00"
12.565465,282,"8982004d50012a00"
6.212265,282,"8992004d50012a00"
10.214195,282,"8992004d50012a00"
25.42155,282,"8992004d50012a00"
27.822748,282,"8992004d50012a00"
28.623105,282,"8992004d50012a00"
29.423496,282,"8992004d50012a00"
6.262425,282,"89a2004d50012a00"
10.264394,282,"89a2004d50012a00"
25.471597,282,"89a2004d50012a00"
27.872825,282,"89a2004d50012a00"
28.673215,282,"89a2004d50012a00"
29.473585,282,"89a2004d50012a00"
1.510014,282,"89b2004d50012a00"
5.512031,282,"89b2004d50012a00"
12.716044,282,"89b2004d50012a00"
13.516262,282,"89b2004d50012a00"
1.560105,282,"89c2004d50012a00"
5.562073,282,"89c2004d50012a00"
12.765549,282,"89c2004d50012a00"
13.565934,282,"89c2004d50012a00"
23.220543,282,"89d2004d50012a00"
26.422038,282,"89d2004d50012a00"
6.412389,282,"89d2004d50112a00"
23.270595,282,"89e2004d50012a00"
26.472116,282,"89e2004d50012a00"
6.462483,282,"89e2004d50112a00"
2.510504,282,"89f2004d50012a00"
0.159351,282,"8e02004d50012a00"
1.76021,282,"8e02004d50012a00"
3.360988,282,"8e02004d50012a00"
4.161375,282,"8e02004d50012a00"
4.961766,282,"8e02004d50012a00"
10.616348,282,"8e12004d50012a00"
14.61644,282,"8e12004d50012a00"
21.019464,282,"8e12004d50012a00"
21.820367,282,"8e12004d50012a00"
6.612487,282,"8e12004d50112a00"
6.662838,282,"8e22004d50012a00"
10.664835,282,"8e22004d50012a00"
14.66646,282,"8e22004d50012a00"
21.069522,282,"8e22004d50012a00"
21.870079,282,"8e22004d50012a00"
0.309313,282,"8e32004d50012a00"
1.910208,282,"8e32004d50012a00"
2.710553,282,"8e32004d50012a00"
4.311361,282,"8e32004d50012a00"
0.359438,282,"8e42004d50012a00"
1.960277,282,"8e42004d50012a00"
2.76068,282,"8e42004d50012a00"
4.361475,282,"8e42004d50012a00"
14.817431,282,"8e52004d50012a00"
22.020701,282,"8e52004d50012a00"
24.421329,282,"8e52004d50012a00"
25.221454,282,"8e52004d50012a00"
26.021842,282,"8e52004d50012a00"
26.822228,282,"8e52004d50012a00"
9.213693,282,"8e52004d50112a00"
17.217734,282,"8e52004d50212a00"
14.866567,282,"8e62004d50012a00"
24.471152,282,"8e62004d50012a00"
25.271542,282,"8e62004d50012a00"
26.071947,282,"8e62004d50012a00"
26.872329,282,"8e62004d50012a00"
9.263985,282,"8e62004d50112a00"
17.267761,282,"8e62004d50212a00"
22.070024,282,"8e62004d50212a00"
1.309896,282,"8e72004d50012a00"
2.110295,282,"8e72004d50012a00"
3.711036,282,"8e72004d50012a00"
6.11229,282,"8e72004d50012a00"
1.360005,282,"8e82004d50012a00"
2.160387,282,"8e82004d50012a00"
3.761184,282,"8e82004d50012a00"
6.162385,282,"8e82004d50012a00"
15.817339,282,"8e92004d50012a00"
23.820801,282,"8e92004d50012a00"
26.221938,282,"8e92004d50012a00"
17.417736,282,"8e92004d50212a00"
22.220148,282,"8e92004d50212a00"
15.867036,282,"8ea2004d50012a00"
23.871116,282,"8ea2004d50012a00"
26.27204,282,"8ea2004d50012a00"
17.467848,282,"8ea2004d50212a00"
22.270133,282,"8ea2004d50212a00"
3.911144,282,"8eb2004d50012a00"
3.961262,282,"8ec2004d50012a00"
19.21861,282,"8ed2004d50012a00"
25.621649,282,"8ed2004d50012a00"
19.268689,282,"8ee2004d50012a00"
25.671736,282,"8ee2004d50012a00"
0.109231,282,"8ef2004d50012a00"
1.710062,282,"8ef2004d50012a00"
3.31088,282,"8ef2004d50012a00"
4.111272,282,"8ef2004d50012a00"
4.911692,282,"8ef2004d50012a00"
0.95976,282,"9302004d50012a00"
7.362919,282,"9302004d50012a00"
12.965656,282,"9302004d50012a00"
13.766029,282,"9302004d50012a00"
16.967656,282,"9302004d50012a00"
28.172973,282,"9302004d50012a00"
1.009739,282,"9312004d50012a00"
